trace_id,experiment_id,request_id,threshold_delta,effective_threshold,predicted_drop_fraction
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,0.5,-3.5,0.7394517259023103
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,-0.5,-4.5,0.608218929565784
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,-0.25,-4.25,0.6458142043322868
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,0.0,-4.0,0.6815737120628714
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,0.25,-3.75,0.7170148144857137
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,0.5,-3.5,0.7493020999940762
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,-0.5,-4.5,0.6036051813344149
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,-0.25,-4.25,0.642137592326316
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,0.0,-4.0,0.6787885281864101
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,0.25,-3.75,0.7144946939252049
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,0.5,-3.5,0.7464855319593457
kvzap-predictor-trace-20260818T033001Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T033001Z,longbench__qasper__row000016,-0.5,-4.5,0.5627944934537562
kvzap-predictor-trace-20260818T033001Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T033001Z,longbench__qasper__row000016,-0.25,-4.25,0.6035689280963383
kvzap-predictor-trace-20260818T033001Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T033001Z,longbench__qasper__row000016,0.0,-4.0,0.6431120037807183
kvzap-predictor-trace-20260818T033001Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T033001Z,longbench__qasper__row000016,0.25,-3.75,0.6828154536862003
kvzap-predictor-trace-20260818T033001Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T033001Z,longbench__qasper__row000016,0.5,-3.5,0.7194892967163761
kvzap-predictor-trace-20260818T033025Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T033025Z,longbench__gov_report__row000096,-0.5,-4.5,0.627126060456305
kvzap-predictor-trace-20260818T033025Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T033025Z,longbench__gov_report__row000096,-0.25,-4.25,0.6615947512560745
kvzap-predictor-trace-20260818T033025Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T033025Z,longbench__gov_report__row000096,0.0,-4.0,0.694836967712709
kvzap-predictor-trace-20260818T033025Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T033025Z,longbench__gov_report__row000096,0.25,-3.75,0.7276055823243555
kvzap-predictor-trace-20260818T033025Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T033025Z,longbench__gov_report__row000096,0.5,-3.5,0.7578723437113911
kvzap-predictor-trace-20260818T033048Z::longbench__multi_news__row000127,kvzap-predictor-trace-20260818T033048Z,longbench__multi_news__row000127,-0.5,-4.5,0.6301956609894566
kvzap-predictor-trace-20260818T033048Z::longbench__multi_news__row000127,kvzap-predictor-trace-20260818T033048Z,longbench__multi_news__row000127,-0.25,-4.25,0.6663169099756691
kvzap-predictor-trace-20260818T033048Z::longbench__multi_news__row000127,kvzap-predictor-trace-20260818T033048Z,longbench__multi_news__row000127,0.0,-4.0,0.7005284367396594
kvzap-predictor-trace-20260818T033048Z::longbench__multi_news__row000127,kvzap-predictor-trace-20260818T033048Z,longbench__multi_news__row000127,0.25,-3.75,0.735040298053528
kvzap-predictor-trace-20260818T033048Z::longbench__multi_news__row000127,kvzap-predictor-trace-20260818T033048Z,longbench__multi_news__row000127,0.5,-3.5,0.7667680454176804
kvzap-predictor-trace-20260818T033110Z::longbench__gov_report__row000180,kvzap-predictor-trace-20260818T033110Z,longbench__gov_report__row000180,-0.5,-4.5,0.6152687347848055
kvzap-predictor-trace-20260818T033110Z::longbench__gov_report__row000180,kvzap-predictor-trace-20260818T033110Z,longbench__gov_report__row000180,-0.25,-4.25,0.652062233016398
kvzap-predictor-trace-20260818T033110Z::longbench__gov_report__row000180,kvzap-predictor-trace-20260818T033110Z,longbench__gov_report__row000180,0.0,-4.0,0.6871870837352442
kvzap-predictor-trace-20260818T033110Z::longbench__gov_report__row000180,kvzap-predictor-trace-20260818T033110Z,longbench__gov_report__row000180,0.25,-3.75,0.721822464517018
kvzap-predictor-trace-20260818T033110Z::longbench__gov_report__row000180,kvzap-predictor-trace-20260818T033110Z,longbench__gov_report__row000180,0.5,-3.5,0.7541274803637867
kvzap-predictor-trace-20260818T033133Z::longbench__multi_news__row000144,kvzap-predictor-trace-20260818T033133Z,longbench__multi_news__row000144,-0.5,-4.5,0.6119132487490316
kvzap-predictor-trace-20260818T033133Z::longbench__multi_news__row000144,kvzap-predictor-trace-20260818T033133Z,longbench__multi_news__row000144,-0.25,-4.25,0.6491655413185939
kvzap-predictor-trace-20260818T033133Z::longbench__multi_news__row000144,kvzap-predictor-trace-20260818T033133Z,longbench__multi_news__row000144,0.0,-4.0,0.6841854573623934
kvzap-predictor-trace-20260818T033133Z::longbench__multi_news__row000144,kvzap-predictor-trace-20260818T033133Z,longbench__multi_news__row000144,0.25,-3.75,0.7187055094947973
kvzap-predictor-trace-20260818T033133Z::longbench__multi_news__row000144,kvzap-predictor-trace-20260818T033133Z,longbench__multi_news__row000144,0.5,-3.5,0.7504743472981178
kvzap-predictor-trace-20260818T033156Z::longbench__gov_report__row000057,kvzap-predictor-trace-20260818T033156Z,longbench__gov_report__row000057,-0.5,-4.5,0.6053164456107517
kvzap-predictor-trace-20260818T033156Z::longbench__gov_report__row000057,kvzap-predictor-trace-20260818T033156Z,longbench__gov_report__row000057,-0.25,-4.25,0.64356683211956
kvzap-predictor-trace-20260818T033156Z::longbench__gov_report__row000057,kvzap-predictor-trace-20260818T033156Z,longbench__gov_report__row000057,0.0,-4.0,0.6797384623730285
kvzap-predictor-trace-20260818T033156Z::longbench__gov_report__row000057,kvzap-predictor-trace-20260818T033156Z,longbench__gov_report__row000057,0.25,-3.75,0.7152298879802541
kvzap-predictor-trace-20260818T033156Z::longbench__gov_report__row000057,kvzap-predictor-trace-20260818T033156Z,longbench__gov_report__row000057,0.5,-3.5,0.7477792695661608
kvzap-predictor-trace-20260818T033221Z::longbench__multi_news__row000073,kvzap-predictor-trace-20260818T033221Z,longbench__multi_news__row000073,-0.5,-4.5,0.5937242618492619
kvzap-predictor-trace-20260818T033221Z::longbench__multi_news__row000073,kvzap-predictor-trace-20260818T033221Z,longbench__multi_news__row000073,-0.25,-4.25,0.6330247183372183
kvzap-predictor-trace-20260818T033221Z::longbench__multi_news__row000073,kvzap-predictor-trace-20260818T033221Z,longbench__multi_news__row000073,0.0,-4.0,0.6704739704739705
kvzap-predictor-trace-20260818T033221Z::longbench__multi_news__row000073,kvzap-predictor-trace-20260818T033221Z,longbench__multi_news__row000073,0.25,-3.75,0.7073409576534576
kvzap-predictor-trace-20260818T033221Z::longbench__multi_news__row000073,kvzap-predictor-trace-20260818T033221Z,longbench__multi_news__row000073,0.5,-3.5,0.741313616938617
kvzap-predictor-trace-20260818T033246Z::longbench__2wikimqa__row000089,kvzap-predictor-trace-20260818T033246Z,longbench__2wikimqa__row000089,-0.5,-4.5,0.6130995769373696
kvzap-predictor-trace-20260818T033246Z::longbench__2wikimqa__row000089,kvzap-predictor-trace-20260818T033246Z,longbench__2wikimqa__row000089,-0.25,-4.25,0.647569891089958
kvzap-predictor-trace-20260818T033246Z::longbench__2wikimqa__row000089,kvzap-predictor-trace-20260818T033246Z,longbench__2wikimqa__row000089,0.0,-4.0,0.6807672655289713
kvzap-predictor-trace-20260818T033246Z::longbench__2wikimqa__row000089,kvzap-predictor-trace-20260818T033246Z,longbench__2wikimqa__row000089,0.25,-3.75,0.7130293642626419
kvzap-predictor-trace-20260818T033246Z::longbench__2wikimqa__row000089,kvzap-predictor-trace-20260818T033246Z,longbench__2wikimqa__row000089,0.5,-3.5,0.7433467684303805
kvzap-predictor-trace-20260818T033309Z::longbench__2wikimqa__row000134,kvzap-predictor-trace-20260818T033309Z,longbench__2wikimqa__row000134,-0.5,-4.5,0.6223087723990371
kvzap-predictor-trace-20260818T033309Z::longbench__2wikimqa__row000134,kvzap-predictor-trace-20260818T033309Z,longbench__2wikimqa__row000134,-0.25,-4.25,0.6573485929095718
kvzap-predictor-trace-20260818T033309Z::longbench__2wikimqa__row000134,kvzap-predictor-trace-20260818T033309Z,longbench__2wikimqa__row000134,0.0,-4.0,0.6908607842263231
kvzap-predictor-trace-20260818T033309Z::longbench__2wikimqa__row000134,kvzap-predictor-trace-20260818T033309Z,longbench__2wikimqa__row000134,0.25,-3.75,0.7232966702326825
kvzap-predictor-trace-20260818T033309Z::longbench__2wikimqa__row000134,kvzap-predictor-trace-20260818T033309Z,longbench__2wikimqa__row000134,0.5,-3.5,0.7534257897239309
kvzap-predictor-trace-20260818T033331Z::longbench__2wikimqa__row000055,kvzap-predictor-trace-20260818T033331Z,longbench__2wikimqa__row000055,-0.5,-4.5,0.6172963787982636
kvzap-predictor-trace-20260818T033331Z::longbench__2wikimqa__row000055,kvzap-predictor-trace-20260818T033331Z,longbench__2wikimqa__row000055,-0.25,-4.25,0.6530863668672099
kvzap-predictor-trace-20260818T033331Z::longbench__2wikimqa__row000055,kvzap-predictor-trace-20260818T033331Z,longbench__2wikimqa__row000055,0.0,-4.0,0.687508726169624
kvzap-predictor-trace-20260818T033331Z::longbench__2wikimqa__row000055,kvzap-predictor-trace-20260818T033331Z,longbench__2wikimqa__row000055,0.25,-3.75,0.7210608483740766
kvzap-predictor-trace-20260818T033331Z::longbench__2wikimqa__row000055,kvzap-predictor-trace-20260818T033331Z,longbench__2wikimqa__row000055,0.5,-3.5,0.7518404285025259
kvzap-predictor-trace-20260818T033354Z::longbench__musique__row000135,kvzap-predictor-trace-20260818T033354Z,longbench__musique__row000135,-0.5,-4.5,0.59736899867232
kvzap-predictor-trace-20260818T033354Z::longbench__musique__row000135,kvzap-predictor-trace-20260818T033354Z,longbench__musique__row000135,-0.25,-4.25,0.6359823582737305
kvzap-predictor-trace-20260818T033354Z::longbench__musique__row000135,kvzap-predictor-trace-20260818T033354Z,longbench__musique__row000135,0.0,-4.0,0.6726162433794453
kvzap-predictor-trace-20260818T033354Z::longbench__musique__row000135,kvzap-predictor-trace-20260818T033354Z,longbench__musique__row000135,0.25,-3.75,0.7084283588162233
kvzap-predictor-trace-20260818T033354Z::longbench__musique__row000135,kvzap-predictor-trace-20260818T033354Z,longbench__musique__row000135,0.5,-3.5,0.7415766378288863
kvzap-predictor-trace-20260818T033419Z::longbench__2wikimqa__row000083,kvzap-predictor-trace-20260818T033419Z,longbench__2wikimqa__row000083,-0.5,-4.5,0.5997217443178822
kvzap-predictor-trace-20260818T033419Z::longbench__2wikimqa__row000083,kvzap-predictor-trace-20260818T033419Z,longbench__2wikimqa__row000083,-0.25,-4.25,0.6377518061488161
kvzap-predictor-trace-20260818T033419Z::longbench__2wikimqa__row000083,kvzap-predictor-trace-20260818T033419Z,longbench__2wikimqa__row000083,0.0,-4.0,0.6735147062701049
kvzap-predictor-trace-20260818T033419Z::longbench__2wikimqa__row000083,kvzap-predictor-trace-20260818T033419Z,longbench__2wikimqa__row000083,0.25,-3.75,0.7087461438063598
kvzap-predictor-trace-20260818T033419Z::longbench__2wikimqa__row000083,kvzap-predictor-trace-20260818T033419Z,longbench__2wikimqa__row000083,0.5,-3.5,0.7408518397669145
kvzap-predictor-trace-20260818T033443Z::longbench__musique__row000155,kvzap-predictor-trace-20260818T033443Z,longbench__musique__row000155,-0.5,-4.5,0.568503338458768
kvzap-predictor-trace-20260818T033443Z::longbench__musique__row000155,kvzap-predictor-trace-20260818T033443Z,longbench__musique__row000155,-0.25,-4.25,0.6084834600839463
kvzap-predictor-trace-20260818T033443Z::longbench__musique__row000155,kvzap-predictor-trace-20260818T033443Z,longbench__musique__row000155,0.0,-4.0,0.6470190229813406
kvzap-predictor-trace-20260818T033443Z::longbench__musique__row000155,kvzap-predictor-trace-20260818T033443Z,longbench__musique__row000155,0.25,-3.75,0.684897240230506
kvzap-predictor-trace-20260818T033443Z::longbench__musique__row000155,kvzap-predictor-trace-20260818T033443Z,longbench__musique__row000155,0.5,-3.5,0.7195913245092743
