trace_id,experiment_id,request_id,state,run_count,mean,p50,p90,p95,p99,max
kvzap-predictor-trace-20260818T033133Z::longbench__multi_news__row000144,kvzap-predictor-trace-20260818T033133Z,longbench__multi_news__row000144,keep,130492,3.6043282346810535,2.0,7.0,11.0,31.0,5175
kvzap-predictor-trace-20260818T033156Z::longbench__gov_report__row000057,kvzap-predictor-trace-20260818T033156Z,longbench__gov_report__row000057,drop,208326,7.582154891852193,2.0,10.0,19.0,73.0,8065
kvzap-predictor-trace-20260818T033156Z::longbench__gov_report__row000057,kvzap-predictor-trace-20260818T033156Z,longbench__gov_report__row000057,keep,208374,3.5664718246998186,2.0,6.0,11.0,30.0,8065
kvzap-predictor-trace-20260818T033221Z::longbench__multi_news__row000073,kvzap-predictor-trace-20260818T033221Z,longbench__multi_news__row000073,drop,371437,7.374709573898131,2.0,10.0,19.0,72.0,14171
kvzap-predictor-trace-20260818T033221Z::longbench__multi_news__row000073,kvzap-predictor-trace-20260818T033221Z,longbench__multi_news__row000073,keep,371540,3.6127900091511007,2.0,6.0,10.0,30.0,14172
kvzap-predictor-trace-20260818T033246Z::longbench__2wikimqa__row000089,kvzap-predictor-trace-20260818T033246Z,longbench__2wikimqa__row000089,drop,88279,8.369816151066505,2.0,10.0,19.0,100.0,3758
kvzap-predictor-trace-20260818T033246Z::longbench__2wikimqa__row000089,kvzap-predictor-trace-20260818T033246Z,longbench__2wikimqa__row000089,keep,88327,3.8913695698936905,2.0,7.0,11.0,32.0,3759
kvzap-predictor-trace-20260818T033309Z::longbench__2wikimqa__row000134,kvzap-predictor-trace-20260818T033309Z,longbench__2wikimqa__row000134,drop,85598,8.407976821888361,2.0,10.0,20.0,100.0,3610
kvzap-predictor-trace-20260818T033309Z::longbench__2wikimqa__row000134,kvzap-predictor-trace-20260818T033309Z,longbench__2wikimqa__row000134,keep,85671,3.7382778303043036,2.0,7.0,11.0,31.0,3611
kvzap-predictor-trace-20260818T033331Z::longbench__2wikimqa__row000055,kvzap-predictor-trace-20260818T033331Z,longbench__2wikimqa__row000055,drop,103131,8.168824116899865,2.0,10.0,19.0,98.0,4248
kvzap-predictor-trace-20260818T033331Z::longbench__2wikimqa__row000055,kvzap-predictor-trace-20260818T033331Z,longbench__2wikimqa__row000055,keep,103171,3.6953504376229755,2.0,7.0,10.0,30.0,4249
kvzap-predictor-trace-20260818T033354Z::longbench__musique__row000135,kvzap-predictor-trace-20260818T033354Z,longbench__musique__row000135,drop,193445,7.671534544702629,2.0,10.0,19.0,85.0,7654
kvzap-predictor-trace-20260818T033354Z::longbench__musique__row000135,kvzap-predictor-trace-20260818T033354Z,longbench__musique__row000135,keep,193498,3.7241728596678003,2.0,7.0,11.0,31.0,7655
kvzap-predictor-trace-20260818T033419Z::longbench__2wikimqa__row000083,kvzap-predictor-trace-20260818T033419Z,longbench__2wikimqa__row000083,drop,209826,7.679215159227169,2.0,10.0,18.0,80.0,8299
kvzap-predictor-trace-20260818T033419Z::longbench__2wikimqa__row000083,kvzap-predictor-trace-20260818T033419Z,longbench__2wikimqa__row000083,keep,209891,3.7119314310761298,2.0,6.0,10.0,29.0,8300
kvzap-predictor-trace-20260818T033443Z::longbench__musique__row000155,kvzap-predictor-trace-20260818T033443Z,longbench__musique__row000155,drop,431456,6.876627048876363,2.0,9.0,17.0,67.0,15913
kvzap-predictor-trace-20260818T033443Z::longbench__musique__row000155,kvzap-predictor-trace-20260818T033443Z,longbench__musique__row000155,keep,431551,3.745258381975711,2.0,7.0,11.0,31.0,15914
