trace_id,experiment_id,request_id,state,run_count,mean,p50,p90,p95,p99,max
kvzap-predictor-trace-20260818T071641Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T071641Z,longbench__qasper__row000049,drop,135240,7.900051759834368,2.0,10.0,20.0,80.0,5518
kvzap-predictor-trace-20260818T071641Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T071641Z,longbench__qasper__row000049,keep,135282,3.8495956594373237,2.0,7.0,11.0,34.0,5514
kvzap-predictor-trace-20260818T071658Z::longbench__qasper__row000051,kvzap-predictor-trace-20260818T071658Z,longbench__qasper__row000051,drop,147391,7.762197149079659,2.0,10.0,18.0,78.0,5872
kvzap-predictor-trace-20260818T071658Z::longbench__qasper__row000051,kvzap-predictor-trace-20260818T071658Z,longbench__qasper__row000051,keep,147480,3.709370762137239,2.0,6.0,11.0,31.0,5872
kvzap-predictor-trace-20260818T071714Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T071714Z,longbench__qasper__row000070,drop,137092,7.881072564409302,2.0,10.0,19.0,80.0,5499
kvzap-predictor-trace-20260818T071714Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T071714Z,longbench__qasper__row000070,keep,137183,3.6686761479192027,2.0,6.0,10.0,31.0,5499
kvzap-predictor-trace-20260818T071731Z::longbench__qasper__row000072,kvzap-predictor-trace-20260818T071731Z,longbench__qasper__row000072,drop,162845,7.7290061101047005,2.0,10.0,20.0,75.0,6559
kvzap-predictor-trace-20260818T071731Z::longbench__qasper__row000072,kvzap-predictor-trace-20260818T071731Z,longbench__qasper__row000072,keep,162927,3.8689842690284606,2.0,7.0,11.0,34.0,6559
kvzap-predictor-trace-20260818T071748Z::longbench__qasper__row000077,kvzap-predictor-trace-20260818T071748Z,longbench__qasper__row000077,drop,124585,8.33215074045832,2.0,10.0,20.0,92.0,5283
kvzap-predictor-trace-20260818T071748Z::longbench__qasper__row000077,kvzap-predictor-trace-20260818T071748Z,longbench__qasper__row000077,keep,124666,3.8779057642019477,2.0,7.0,11.0,32.0,5283
kvzap-predictor-trace-20260818T071806Z::longbench__narrativeqa__row000002,kvzap-predictor-trace-20260818T071806Z,longbench__narrativeqa__row000002,drop,209058,7.5725396779841,2.0,10.0,19.0,84.0,8234
kvzap-predictor-trace-20260818T071806Z::longbench__narrativeqa__row000002,kvzap-predictor-trace-20260818T071806Z,longbench__narrativeqa__row000002,keep,209150,3.7704040162562755,2.0,6.0,10.0,34.0,8235
kvzap-predictor-trace-20260818T071824Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T071824Z,longbench__narrativeqa__row000003,drop,231397,7.539531627462758,2.0,10.0,19.0,71.0,8912
kvzap-predictor-trace-20260818T071824Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T071824Z,longbench__narrativeqa__row000003,keep,231429,3.5532236668697528,1.0,6.0,9.0,26.0,8909
kvzap-predictor-trace-20260818T071844Z::longbench__narrativeqa__row000005,kvzap-predictor-trace-20260818T071844Z,longbench__narrativeqa__row000005,drop,374154,6.782463905236881,2.0,10.0,17.0,61.0,13366
kvzap-predictor-trace-20260818T071844Z::longbench__narrativeqa__row000005,kvzap-predictor-trace-20260818T071844Z,longbench__narrativeqa__row000005,keep,374235,3.5058452576589576,2.0,6.0,9.0,25.0,13363
kvzap-predictor-trace-20260818T071904Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T071904Z,longbench__qasper__row000016,drop,426504,6.843788100463302,2.0,9.0,17.0,64.0,15742
kvzap-predictor-trace-20260818T071904Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T071904Z,longbench__qasper__row000016,keep,426581,3.785431137345545,2.0,7.0,11.0,33.0,15742
kvzap-predictor-trace-20260818T071923Z::longbench__qasper__row000073,kvzap-predictor-trace-20260818T071923Z,longbench__qasper__row000073,drop,252384,7.340247400786104,2.0,10.0,18.0,70.0,9720
kvzap-predictor-trace-20260818T071923Z::longbench__qasper__row000073,kvzap-predictor-trace-20260818T071923Z,longbench__qasper__row000073,keep,252467,3.7513298767759746,2.0,6.0,11.0,32.0,9721
kvzap-predictor-trace-20260818T071940Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T071940Z,longbench__gov_report__row000096,drop,60433,8.513510830175566,2.0,10.0,20.0,97.0,2570
kvzap-predictor-trace-20260818T071940Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T071940Z,longbench__gov_report__row000096,keep,60521,3.728672692123395,2.0,7.0,11.0,35.0,2570
kvzap-predictor-trace-20260818T071955Z::longbench__gov_report__row000109,kvzap-predictor-trace-20260818T071955Z,longbench__gov_report__row000109,drop,63881,8.5476745824267,2.0,10.0,20.0,92.0,2752
kvzap-predictor-trace-20260818T071955Z::longbench__gov_report__row000109,kvzap-predictor-trace-20260818T071955Z,longbench__gov_report__row000109,keep,63937,3.856014514287502,2.0,7.0,11.0,34.0,2752
kvzap-predictor-trace-20260818T072011Z::longbench__multi_news__row000054,kvzap-predictor-trace-20260818T072011Z,longbench__multi_news__row000054,drop,53840,8.425575780089153,2.0,10.0,19.0,96.0,2253
kvzap-predictor-trace-20260818T072011Z::longbench__multi_news__row000054,kvzap-predictor-trace-20260818T072011Z,longbench__multi_news__row000054,keep,53893,3.622566938192344,2.0,7.0,11.0,32.0,2253
kvzap-predictor-trace-20260818T072026Z::longbench__multi_news__row000127,kvzap-predictor-trace-20260818T072026Z,longbench__multi_news__row000127,drop,62784,8.395021024464832,2.0,11.0,21.0,91.0,2612
kvzap-predictor-trace-20260818T072026Z::longbench__multi_news__row000127,kvzap-predictor-trace-20260818T072026Z,longbench__multi_news__row000127,keep,62811,3.5850885991307253,2.0,7.0,11.0,32.0,2612
kvzap-predictor-trace-20260818T072041Z::longbench__qmsum__row000042,kvzap-predictor-trace-20260818T072041Z,longbench__qmsum__row000042,drop,53270,9.990857893748826,2.0,12.0,24.0,121.0,2494
kvzap-predictor-trace-20260818T072041Z::longbench__qmsum__row000042,kvzap-predictor-trace-20260818T072041Z,longbench__qmsum__row000042,keep,53322,3.4893477363939835,2.0,6.0,10.0,30.0,2494
kvzap-predictor-trace-20260818T072057Z::longbench__gov_report__row000180,kvzap-predictor-trace-20260818T072057Z,longbench__gov_report__row000180,drop,116532,8.002960560189475,2.0,10.0,20.0,80.0,4710
kvzap-predictor-trace-20260818T072057Z::longbench__gov_report__row000180,kvzap-predictor-trace-20260818T072057Z,longbench__gov_report__row000180,keep,116594,3.6355129766540304,2.0,6.0,11.0,30.0,4710
kvzap-predictor-trace-20260818T072113Z::longbench__multi_news__row000129,kvzap-predictor-trace-20260818T072113Z,longbench__multi_news__row000129,drop,123832,7.998651398669165,2.0,10.0,21.0,84.0,5055
kvzap-predictor-trace-20260818T072113Z::longbench__multi_news__row000129,kvzap-predictor-trace-20260818T072113Z,longbench__multi_news__row000129,keep,123889,3.756193043773055,2.0,7.0,11.0,36.0,5055
kvzap-predictor-trace-20260818T072129Z::longbench__multi_news__row000144,kvzap-predictor-trace-20260818T072129Z,longbench__multi_news__row000144,drop,130434,7.829369642884524,2.0,10.0,20.0,78.0,5179
kvzap-predictor-trace-20260818T072129Z::longbench__multi_news__row000144,kvzap-predictor-trace-20260818T072129Z,longbench__multi_news__row000144,keep,130492,3.6043282346810535,2.0,7.0,11.0,31.0,5175
kvzap-predictor-trace-20260818T072147Z::longbench__qmsum__row000016,kvzap-predictor-trace-20260818T072147Z,longbench__qmsum__row000016,drop,162857,8.118613261941459,2.0,12.0,22.0,79.0,6581
kvzap-predictor-trace-20260818T072147Z::longbench__qmsum__row000016,kvzap-predictor-trace-20260818T072147Z,longbench__qmsum__row000016,keep,162924,3.5196963001153914,2.0,6.0,10.0,30.0,6582
kvzap-predictor-trace-20260818T072204Z::longbench__qmsum__row000044,kvzap-predictor-trace-20260818T072204Z,longbench__qmsum__row000044,drop,114655,9.448597967816493,2.0,13.0,25.0,91.0,5079
kvzap-predictor-trace-20260818T072204Z::longbench__qmsum__row000044,kvzap-predictor-trace-20260818T072204Z,longbench__qmsum__row000044,keep,114698,3.3080175765924427,2.0,6.0,10.0,27.0,5079
kvzap-predictor-trace-20260818T072221Z::longbench__gov_report__row000003,kvzap-predictor-trace-20260818T072221Z,longbench__gov_report__row000003,drop,225996,7.341904281491708,2.0,9.0,18.0,73.0,8618
kvzap-predictor-trace-20260818T072221Z::longbench__gov_report__row000003,kvzap-predictor-trace-20260818T072221Z,longbench__gov_report__row000003,keep,226061,3.639473416467237,1.0,6.0,10.0,30.0,8614
kvzap-predictor-trace-20260818T072239Z::longbench__gov_report__row000057,kvzap-predictor-trace-20260818T072239Z,longbench__gov_report__row000057,drop,208326,7.582154891852193,2.0,10.0,19.0,73.0,8065
kvzap-predictor-trace-20260818T072239Z::longbench__gov_report__row000057,kvzap-predictor-trace-20260818T072239Z,longbench__gov_report__row000057,keep,208374,3.5664718246998186,2.0,6.0,11.0,30.0,8065
kvzap-predictor-trace-20260818T072258Z::longbench__multi_news__row000073,kvzap-predictor-trace-20260818T072258Z,longbench__multi_news__row000073,drop,371437,7.374709573898131,2.0,10.0,19.0,72.0,14171
kvzap-predictor-trace-20260818T072258Z::longbench__multi_news__row000073,kvzap-predictor-trace-20260818T072258Z,longbench__multi_news__row000073,keep,371540,3.6127900091511007,2.0,6.0,10.0,30.0,14172
kvzap-predictor-trace-20260818T072318Z::longbench__qmsum__row000010,kvzap-predictor-trace-20260818T072318Z,longbench__qmsum__row000010,drop,429735,7.010583266431638,2.0,10.0,18.0,61.0,15705
kvzap-predictor-trace-20260818T072318Z::longbench__qmsum__row000010,kvzap-predictor-trace-20260818T072318Z,longbench__qmsum__row000010,keep,429813,3.513963049046911,2.0,6.0,10.0,29.0,15705
kvzap-predictor-trace-20260818T072338Z::longbench__qmsum__row000036,kvzap-predictor-trace-20260818T072338Z,longbench__qmsum__row000036,drop,280596,7.537573593351295,2.0,11.0,20.0,67.0,10757
kvzap-predictor-trace-20260818T072338Z::longbench__qmsum__row000036,kvzap-predictor-trace-20260818T072338Z,longbench__qmsum__row000036,keep,280652,3.5025690178584155,2.0,6.0,10.0,30.0,10757
kvzap-predictor-trace-20260818T072355Z::longbench__2wikimqa__row000062,kvzap-predictor-trace-20260818T072355Z,longbench__2wikimqa__row000062,drop,76010,8.458242336534667,2.0,10.0,20.0,101.0,3243
kvzap-predictor-trace-20260818T072355Z::longbench__2wikimqa__row000062,kvzap-predictor-trace-20260818T072355Z,longbench__2wikimqa__row000062,keep,76084,3.8256795121181852,2.0,7.0,11.0,34.0,3243
kvzap-predictor-trace-20260818T072412Z::longbench__2wikimqa__row000089,kvzap-predictor-trace-20260818T072412Z,longbench__2wikimqa__row000089,drop,88279,8.369816151066505,2.0,10.0,19.0,100.0,3758
kvzap-predictor-trace-20260818T072412Z::longbench__2wikimqa__row000089,kvzap-predictor-trace-20260818T072412Z,longbench__2wikimqa__row000089,keep,88327,3.8913695698936905,2.0,7.0,11.0,32.0,3759
kvzap-predictor-trace-20260818T072428Z::longbench__2wikimqa__row000106,kvzap-predictor-trace-20260818T072428Z,longbench__2wikimqa__row000106,drop,59682,8.866542676183775,2.0,10.0,20.0,121.0,2634
kvzap-predictor-trace-20260818T072428Z::longbench__2wikimqa__row000106,kvzap-predictor-trace-20260818T072428Z,longbench__2wikimqa__row000106,keep,59755,3.84414693331102,2.0,7.0,11.0,34.0,2635
kvzap-predictor-trace-20260818T072443Z::longbench__2wikimqa__row000118,kvzap-predictor-trace-20260818T072443Z,longbench__2wikimqa__row000118,drop,46055,8.83185321897731,2.0,11.0,22.0,114.0,2014
kvzap-predictor-trace-20260818T072443Z::longbench__2wikimqa__row000118,kvzap-predictor-trace-20260818T072443Z,longbench__2wikimqa__row000118,keep,46125,3.7630135501355015,2.0,7.0,11.0,34.0,2015
kvzap-predictor-trace-20260818T072458Z::longbench__2wikimqa__row000134,kvzap-predictor-trace-20260818T072458Z,longbench__2wikimqa__row000134,drop,85598,8.407976821888361,2.0,10.0,20.0,100.0,3610
kvzap-predictor-trace-20260818T072458Z::longbench__2wikimqa__row000134,kvzap-predictor-trace-20260818T072458Z,longbench__2wikimqa__row000134,keep,85671,3.7382778303043036,2.0,7.0,11.0,31.0,3611
kvzap-predictor-trace-20260818T072514Z::longbench__2wikimqa__row000055,kvzap-predictor-trace-20260818T072514Z,longbench__2wikimqa__row000055,drop,103131,8.168824116899865,2.0,10.0,19.0,98.0,4248
kvzap-predictor-trace-20260818T072514Z::longbench__2wikimqa__row000055,kvzap-predictor-trace-20260818T072514Z,longbench__2wikimqa__row000055,keep,103171,3.6953504376229755,2.0,7.0,10.0,30.0,4249
kvzap-predictor-trace-20260818T072530Z::longbench__2wikimqa__row000167,kvzap-predictor-trace-20260818T072530Z,longbench__2wikimqa__row000167,drop,106873,8.456130173196224,2.0,10.0,19.0,99.0,4505
kvzap-predictor-trace-20260818T072530Z::longbench__2wikimqa__row000167,kvzap-predictor-trace-20260818T072530Z,longbench__2wikimqa__row000167,keep,106941,3.6842371027014895,2.0,7.0,11.0,30.0,4506
kvzap-predictor-trace-20260818T072546Z::longbench__musique__row000068,kvzap-predictor-trace-20260818T072546Z,longbench__musique__row000068,drop,166022,7.836672248256256,2.0,10.0,20.0,92.0,6657
kvzap-predictor-trace-20260818T072546Z::longbench__musique__row000068,kvzap-predictor-trace-20260818T072546Z,longbench__musique__row000068,keep,166074,3.711863386201332,2.0,7.0,11.0,32.0,6658
kvzap-predictor-trace-20260818T072604Z::longbench__musique__row000135,kvzap-predictor-trace-20260818T072604Z,longbench__musique__row000135,drop,193445,7.671534544702629,2.0,10.0,19.0,85.0,7654
kvzap-predictor-trace-20260818T072604Z::longbench__musique__row000135,kvzap-predictor-trace-20260818T072604Z,longbench__musique__row000135,keep,193498,3.7241728596678003,2.0,7.0,11.0,31.0,7655
kvzap-predictor-trace-20260818T072622Z::longbench__musique__row000191,kvzap-predictor-trace-20260818T072622Z,longbench__musique__row000191,drop,206434,7.55962196149859,2.0,10.0,19.0,83.0,8050
kvzap-predictor-trace-20260818T072622Z::longbench__musique__row000191,kvzap-predictor-trace-20260818T072622Z,longbench__musique__row000191,keep,206478,3.6716986797624926,2.0,7.0,11.0,31.0,8051
kvzap-predictor-trace-20260818T072640Z::longbench__2wikimqa__row000017,kvzap-predictor-trace-20260818T072640Z,longbench__2wikimqa__row000017,drop,216695,7.528286301022174,2.0,10.0,18.0,77.0,8449
kvzap-predictor-trace-20260818T072640Z::longbench__2wikimqa__row000017,kvzap-predictor-trace-20260818T072640Z,longbench__2wikimqa__row000017,keep,216753,3.70125442323751,2.0,7.0,11.0,31.0,8450
kvzap-predictor-trace-20260818T072657Z::longbench__2wikimqa__row000083,kvzap-predictor-trace-20260818T072657Z,longbench__2wikimqa__row000083,drop,209826,7.679215159227169,2.0,10.0,18.0,80.0,8299
kvzap-predictor-trace-20260818T072657Z::longbench__2wikimqa__row000083,kvzap-predictor-trace-20260818T072657Z,longbench__2wikimqa__row000083,keep,209891,3.7119314310761298,2.0,6.0,10.0,29.0,8300
kvzap-predictor-trace-20260818T072715Z::longbench__2wikimqa__row000124,kvzap-predictor-trace-20260818T072715Z,longbench__2wikimqa__row000124,drop,211748,7.338421142112322,2.0,9.0,18.0,78.0,8129
kvzap-predictor-trace-20260818T072715Z::longbench__2wikimqa__row000124,kvzap-predictor-trace-20260818T072715Z,longbench__2wikimqa__row000124,keep,211821,3.716609779011524,2.0,7.0,11.0,31.0,8129
kvzap-predictor-trace-20260818T072733Z::longbench__musique__row000052,kvzap-predictor-trace-20260818T072733Z,longbench__musique__row000052,drop,262931,7.7821633812673285,2.0,10.0,19.0,83.0,10510
kvzap-predictor-trace-20260818T072733Z::longbench__musique__row000052,kvzap-predictor-trace-20260818T072733Z,longbench__musique__row000052,keep,262968,3.730476711995376,2.0,6.0,10.0,30.0,10511
kvzap-predictor-trace-20260818T072754Z::longbench__musique__row000155,kvzap-predictor-trace-20260818T072754Z,longbench__musique__row000155,drop,431456,6.876627048876363,2.0,9.0,17.0,67.0,15913
kvzap-predictor-trace-20260818T072754Z::longbench__musique__row000155,kvzap-predictor-trace-20260818T072754Z,longbench__musique__row000155,keep,431551,3.745258381975711,2.0,7.0,11.0,31.0,15914
