trace_id,request_id,category,task,length_bucket,capacity_quantum,logical_compression_factor,capacity_compression_factor,capacity_fragmentation,head_cold_kept_p50,head_cold_kept_p90,head_cold_kept_max,head_cold_kept_cv
kvzap-predictor-trace-20260818T071625Z::longbench__qasper__row000163,longbench__qasper__row000163,retrieval,qasper,"[1024,4096)",32,2.960609748286684,2.9080639749468737,0.02037328283476698,322.0,2522.0,2761,1.1389685537661722
kvzap-predictor-trace-20260818T071625Z::longbench__qasper__row000163,longbench__qasper__row000163,retrieval,qasper,"[1024,4096)",64,2.960609748286684,2.8472404730617606,0.04382048872180451,322.0,2522.0,2761,1.1389685537661722
kvzap-predictor-trace-20260818T071625Z::longbench__qasper__row000163,longbench__qasper__row000163,retrieval,qasper,"[1024,4096)",128,2.960609748286684,2.7277591271506503,0.08946151551312649,322.0,2522.0,2761,1.1389685537661722
kvzap-predictor-trace-20260818T071641Z::longbench__qasper__row000049,longbench__qasper__row000049,retrieval,qasper,"[4096,8192)",16,2.91591962628554,2.903657142857143,0.00450169745534622,974.0,5045.0,5517,1.0688715788540895
kvzap-predictor-trace-20260818T071641Z::longbench__qasper__row000049,longbench__qasper__row000049,retrieval,qasper,"[4096,8192)",32,2.91591962628554,2.8907725566048468,0.00922889017411421,974.0,5045.0,5517,1.0688715788540895
kvzap-predictor-trace-20260818T071641Z::longbench__qasper__row000049,longbench__qasper__row000049,retrieval,qasper,"[4096,8192)",64,2.91591962628554,2.865020297699594,0.018668219368065606,974.0,5045.0,5517,1.0688715788540895
kvzap-predictor-trace-20260818T071641Z::longbench__qasper__row000049,longbench__qasper__row000049,retrieval,qasper,"[4096,8192)",128,2.91591962628554,2.812998228520815,0.03770067112109744,974.0,5045.0,5517,1.0688715788540895
kvzap-predictor-trace-20260818T071658Z::longbench__qasper__row000051,longbench__qasper__row000051,retrieval,qasper,"[4096,8192)",16,2.959299358475961,2.9475178079200894,0.00424833270233276,1099.0,5344.0,5872,1.0623877577635696
kvzap-predictor-trace-20260818T071658Z::longbench__qasper__row000051,longbench__qasper__row000051,retrieval,qasper,"[4096,8192)",32,2.959299358475961,2.9344636452559505,0.008952898550724637,1099.0,5344.0,5872,1.0623877577635696
kvzap-predictor-trace-20260818T071658Z::longbench__qasper__row000051,longbench__qasper__row000051,retrieval,qasper,"[4096,8192)",64,2.959299358475961,2.9088558500323205,0.018173529749597978,1099.0,5344.0,5872,1.0623877577635696
kvzap-predictor-trace-20260818T071658Z::longbench__qasper__row000051,longbench__qasper__row000051,retrieval,qasper,"[4096,8192)",128,2.959299358475961,2.859563651768693,0.03589203135574103,1099.0,5344.0,5872,1.0623877577635696
kvzap-predictor-trace-20260818T071714Z::longbench__qasper__row000070,longbench__qasper__row000070,retrieval,qasper,"[4096,8192)",16,3.0002665955745136,2.9872588922314636,0.004651604328839947,943.0,4979.0,5499,1.0721968165641012
kvzap-predictor-trace-20260818T071714Z::longbench__qasper__row000070,longbench__qasper__row000070,retrieval,qasper,"[4096,8192)",32,3.0002665955745136,2.97148389368069,0.01028884274117425,943.0,4979.0,5499,1.0721968165641012
kvzap-predictor-trace-20260818T071714Z::longbench__qasper__row000070,longbench__qasper__row000070,retrieval,qasper,"[4096,8192)",64,3.0002665955745136,2.9450453593859036,0.019727000747943157,943.0,4979.0,5499,1.0721968165641012
kvzap-predictor-trace-20260818T071714Z::longbench__qasper__row000070,longbench__qasper__row000070,retrieval,qasper,"[4096,8192)",128,3.0002665955745136,2.882028226724334,0.0421741778319123,943.0,4979.0,5499,1.0721968165641012
kvzap-predictor-trace-20260818T071731Z::longbench__qasper__row000072,longbench__qasper__row000072,retrieval,qasper,"[4096,8192)",16,2.886362341995066,2.8764039573674904,0.00365118102271003,1226.0,6027.0,6559,1.0442581277799103
kvzap-predictor-trace-20260818T071731Z::longbench__qasper__row000072,longbench__qasper__row000072,retrieval,qasper,"[4096,8192)",32,2.886362341995066,2.8658571428571427,0.007516500403063281,1226.0,6027.0,6559,1.0442581277799103
kvzap-predictor-trace-20260818T071731Z::longbench__qasper__row000072,longbench__qasper__row000072,retrieval,qasper,"[4096,8192)",64,2.886362341995066,2.8433808938864216,0.015748351154192066,1226.0,6027.0,6559,1.0442581277799103
kvzap-predictor-trace-20260818T071731Z::longbench__qasper__row000072,longbench__qasper__row000072,retrieval,qasper,"[4096,8192)",128,2.886362341995066,2.798168123488934,0.032284707211632936,1226.0,6027.0,6559,1.0442581277799103
kvzap-predictor-trace-20260818T071748Z::longbench__qasper__row000077,longbench__qasper__row000077,retrieval,qasper,"[4096,8192)",16,2.9950932814665188,2.981906132320975,0.0047370631443723445,800.0,4861.0,5283,1.1000405241963738
kvzap-predictor-trace-20260818T071748Z::longbench__qasper__row000077,longbench__qasper__row000077,retrieval,qasper,"[4096,8192)",32,2.9950932814665188,2.96764168190128,0.009857533752785424,800.0,4861.0,5283,1.1000405241963738
kvzap-predictor-trace-20260818T071748Z::longbench__qasper__row000077,longbench__qasper__row000077,retrieval,qasper,"[4096,8192)",64,2.9950932814665188,2.9393408981168516,0.020005594836533473,800.0,4861.0,5283,1.1000405241963738
kvzap-predictor-trace-20260818T071748Z::longbench__qasper__row000077,longbench__qasper__row000077,retrieval,qasper,"[4096,8192)",128,2.9950932814665188,2.874114730878187,0.043338794959473154,800.0,4861.0,5283,1.1000405241963738
kvzap-predictor-trace-20260818T071806Z::longbench__narrativeqa__row000002,longbench__narrativeqa__row000002,retrieval,narrativeqa,"[8192,16384)",16,2.917876924418858,2.909431774255895,0.0030291690266202767,1487.0,7617.0,8235,1.055175608548207
kvzap-predictor-trace-20260818T071806Z::longbench__narrativeqa__row000002,longbench__narrativeqa__row000002,retrieval,narrativeqa,"[8192,16384)",32,2.917876924418858,2.9004624277456648,0.00624546334381805,1487.0,7617.0,8235,1.055175608548207
kvzap-predictor-trace-20260818T071806Z::longbench__narrativeqa__row000002,longbench__narrativeqa__row000002,retrieval,narrativeqa,"[8192,16384)",64,2.917876924418858,2.8833512105424455,0.012378767233087527,1487.0,7617.0,8235,1.055175608548207
kvzap-predictor-trace-20260818T071806Z::longbench__narrativeqa__row000002,longbench__narrativeqa__row000002,retrieval,narrativeqa,"[8192,16384)",128,2.917876924418858,2.846709531013616,0.025501225877886745,1487.0,7617.0,8235,1.055175608548207
kvzap-predictor-trace-20260818T071824Z::longbench__narrativeqa__row000003,longbench__narrativeqa__row000003,retrieval,narrativeqa,"[8192,16384)",16,3.030562755548003,3.022117402365875,0.002911291104859831,1663.0,8042.0,8912,1.0494724182075332
kvzap-predictor-trace-20260818T071824Z::longbench__narrativeqa__row000003,longbench__narrativeqa__row000003,retrieval,narrativeqa,"[8192,16384)",32,3.030562755548003,3.0133318520164427,0.005939083594445089,1663.0,8042.0,8912,1.0494724182075332
kvzap-predictor-trace-20260818T071824Z::longbench__narrativeqa__row000003,longbench__narrativeqa__row000003,retrieval,narrativeqa,"[8192,16384)",64,3.030562755548003,2.994369618017222,0.01247141841518715,1663.0,8042.0,8912,1.0494724182075332
kvzap-predictor-trace-20260818T071824Z::longbench__narrativeqa__row000003,longbench__narrativeqa__row000003,retrieval,narrativeqa,"[8192,16384)",128,3.030562755548003,2.958442408376963,0.024838010397692775,1663.0,8042.0,8912,1.0494724182075332
kvzap-predictor-trace-20260818T071844Z::longbench__narrativeqa__row000005,longbench__narrativeqa__row000005,retrieval,narrativeqa,"[8192,16384)",16,2.8813365814746223,2.876683127864426,0.0016603357804643461,2865.0,11974.0,13366,0.9798875421532166
kvzap-predictor-trace-20260818T071844Z::longbench__narrativeqa__row000005,longbench__narrativeqa__row000005,retrieval,narrativeqa,"[8192,16384)",32,2.8813365814746223,2.8711408444045197,0.003637606318347509,2865.0,11974.0,13366,0.9798875421532166
kvzap-predictor-trace-20260818T071844Z::longbench__narrativeqa__row000005,longbench__narrativeqa__row000005,retrieval,narrativeqa,"[8192,16384)",64,2.8813365814746223,2.86113074204947,0.007208278851276091,2865.0,11974.0,13366,0.9798875421532166
kvzap-predictor-trace-20260818T071844Z::longbench__narrativeqa__row000005,longbench__narrativeqa__row000005,retrieval,narrativeqa,"[8192,16384)",128,2.8813365814746223,2.8393257901627083,0.014983843455698635,2865.0,11974.0,13366,0.9798875421532166
kvzap-predictor-trace-20260818T071904Z::longbench__qasper__row000016,longbench__qasper__row000016,retrieval,qasper,"[8192,16384)",16,2.767257366390237,2.7632571727059916,0.0014784959534598413,4042.0,14417.0,15742,0.9484689348552343
kvzap-predictor-trace-20260818T071904Z::longbench__qasper__row000016,longbench__qasper__row000016,retrieval,qasper,"[8192,16384)",32,2.767257366390237,2.759306840793617,0.002938466934065717,4042.0,14417.0,15742,0.9484689348552343
kvzap-predictor-trace-20260818T071904Z::longbench__qasper__row000016,longbench__qasper__row000016,retrieval,qasper,"[8192,16384)",64,2.767257366390237,2.7509630200308166,0.0060218789394894424,4042.0,14417.0,15742,0.9484689348552343
kvzap-predictor-trace-20260818T071904Z::longbench__qasper__row000016,longbench__qasper__row000016,retrieval,qasper,"[8192,16384)",128,2.767257366390237,2.7339024576984916,0.012325192789477805,4042.0,14417.0,15742,0.9484689348552343
kvzap-predictor-trace-20260818T071923Z::longbench__qasper__row000073,longbench__qasper__row000073,retrieval,qasper,"[8192,16384)",16,2.8827776992960015,2.8760402978537014,0.0024278696260343464,2129.0,8927.0,9721,1.00405536402094
kvzap-predictor-trace-20260818T071923Z::longbench__qasper__row000073,longbench__qasper__row000073,retrieval,qasper,"[8192,16384)",32,2.8827776992960015,2.8685479434322514,0.005127273185653299,2129.0,8927.0,9721,1.00405536402094
kvzap-predictor-trace-20260818T071923Z::longbench__qasper__row000073,longbench__qasper__row000073,retrieval,qasper,"[8192,16384)",64,2.8827776992960015,2.854047266404791,0.010350138768140173,2129.0,8927.0,9721,1.00405536402094
kvzap-predictor-trace-20260818T071923Z::longbench__qasper__row000073,longbench__qasper__row000073,retrieval,qasper,"[8192,16384)",128,2.8827776992960015,2.8251211116777153,0.020762680320275277,2129.0,8927.0,9721,1.00405536402094
kvzap-predictor-trace-20260818T071940Z::longbench__gov_report__row000096,longbench__gov_report__row000096,summarization,gov_report,"[1024,4096)",16,2.9597869933378282,2.9333172263831844,0.010388892786977267,305.0,2300.0,2570,1.1381524918734511
kvzap-predictor-trace-20260818T071940Z::longbench__gov_report__row000096,longbench__gov_report__row000096,summarization,gov_report,"[1024,4096)",32,2.9597869933378282,2.905588129711619,0.021239590562109646,305.0,2300.0,2570,1.1381524918734511
kvzap-predictor-trace-20260818T071940Z::longbench__gov_report__row000096,longbench__gov_report__row000096,summarization,gov_report,"[1024,4096)",64,2.9597869933378282,2.846658851113716,0.04418965166711846,305.0,2300.0,2570,1.1381524918734511
kvzap-predictor-trace-20260818T071940Z::longbench__gov_report__row000096,longbench__gov_report__row000096,summarization,gov_report,"[1024,4096)",128,2.9597869933378282,2.724640933572711,0.09124114046391753,305.0,2300.0,2570,1.1381524918734511
kvzap-predictor-trace-20260818T071955Z::longbench__gov_report__row000109,longbench__gov_report__row000109,summarization,gov_report,"[1024,4096)",16,2.9266846855747586,2.901438405999888,0.009903296279637602,354.0,2477.0,2752,1.1314992094808058
kvzap-predictor-trace-20260818T071955Z::longbench__gov_report__row000109,longbench__gov_report__row000109,summarization,gov_report,"[1024,4096)",32,2.9266846855747586,2.8748890860692105,0.020290246693794506,354.0,2477.0,2752,1.1314992094808058
kvzap-predictor-trace-20260818T071955Z::longbench__gov_report__row000109,longbench__gov_report__row000109,summarization,gov_report,"[1024,4096)",64,2.9266846855747586,2.82107096212451,0.04125964410154306,354.0,2477.0,2752,1.1314992094808058
kvzap-predictor-trace-20260818T071955Z::longbench__gov_report__row000109,longbench__gov_report__row000109,summarization,gov_report,"[1024,4096)",128,2.9266846855747586,2.7033792240300376,0.0867191204362257,354.0,2477.0,2752,1.1314992094808058
kvzap-predictor-trace-20260818T072011Z::longbench__multi_news__row000054,longbench__multi_news__row000054,summarization,multi_news,"[1024,4096)",16,2.954514315258838,2.925660454638542,0.011588699878493317,331.0,1950.0,2253,1.1026551978832744
kvzap-predictor-trace-20260818T072011Z::longbench__multi_news__row000054,longbench__multi_news__row000054,summarization,multi_news,"[1024,4096)",32,2.954514315258838,2.892683585313175,0.02478121003836317,331.0,1950.0,2253,1.1026551978832744
kvzap-predictor-trace-20260818T072011Z::longbench__multi_news__row000054,longbench__multi_news__row000054,summarization,multi_news,"[1024,4096)",64,2.954514315258838,2.822576396206533,0.05264460403726708,331.0,1950.0,2253,1.1026551978832744
kvzap-predictor-trace-20260818T072011Z::longbench__multi_news__row000054,longbench__multi_news__row000054,summarization,multi_news,"[1024,4096)",128,2.954514315258838,2.68803311590567,0.10542980205278592,331.0,1950.0,2253,1.1026551978832744
kvzap-predictor-trace-20260818T072026Z::longbench__multi_news__row000127,longbench__multi_news__row000127,summarization,multi_news,"[1024,4096)",16,3.0113681896758977,2.983666061705989,0.010689055250948966,383.0,2223.0,2612,1.0933996971684006
kvzap-predictor-trace-20260818T072026Z::longbench__multi_news__row000127,longbench__multi_news__row000127,summarization,multi_news,"[1024,4096)",32,3.0113681896758977,2.95470884255931,0.021828085904920767,383.0,2223.0,2612,1.0933996971684006
kvzap-predictor-trace-20260818T072026Z::longbench__multi_news__row000127,longbench__multi_news__row000127,summarization,multi_news,"[1024,4096)",64,3.0113681896758977,2.8977673325499413,0.04363023240010872,383.0,2223.0,2612,1.0933996971684006
kvzap-predictor-trace-20260818T072026Z::longbench__multi_news__row000127,longbench__multi_news__row000127,summarization,multi_news,"[1024,4096)",128,3.0113681896758977,2.7707865168539327,0.09176965023231802,383.0,2223.0,2612,1.0933996971684006
kvzap-predictor-trace-20260818T072041Z::longbench__qmsum__row000042,longbench__qmsum__row000042,summarization,qmsum,"[1024,4096)",16,3.38742974031392,3.3529411764705883,0.012174014610941216,220.0,2016.0,2494,1.2180683196763462
kvzap-predictor-trace-20260818T072041Z::longbench__qmsum__row000042,longbench__qmsum__row000042,summarization,qmsum,"[1024,4096)",32,3.38742974031392,3.314325842696629,0.02574669068364611,220.0,2016.0,2494,1.2180683196763462
kvzap-predictor-trace-20260818T072041Z::longbench__qmsum__row000042,longbench__qmsum__row000042,summarization,qmsum,"[1024,4096)",64,3.38742974031392,3.2334886270211016,0.0539629433778067,220.0,2016.0,2494,1.2180683196763462
kvzap-predictor-trace-20260818T072041Z::longbench__qmsum__row000042,longbench__qmsum__row000042,summarization,qmsum,"[1024,4096)",128,3.38742974031392,3.0774647887323945,0.1076820518723143,220.0,2016.0,2494,1.2180683196763462
kvzap-predictor-trace-20260818T072057Z::longbench__gov_report__row000180,longbench__gov_report__row000180,summarization,gov_report,"[4096,8192)",16,3.0241240778481715,3.0083946522955745,0.005651109109334534,748.0,4156.0,4710,1.086297644341616
kvzap-predictor-trace-20260818T072057Z::longbench__gov_report__row000180,longbench__gov_report__row000180,summarization,gov_report,"[4096,8192)",32,3.0241240778481715,2.99216602528862,0.011476212686567164,748.0,4156.0,4710,1.086297644341616
kvzap-predictor-trace-20260818T072057Z::longbench__gov_report__row000180,longbench__gov_report__row000180,summarization,gov_report,"[4096,8192)",64,3.0241240778481715,2.960832313341493,0.022707779991146523,748.0,4156.0,4710,1.086297644341616
kvzap-predictor-trace-20260818T072057Z::longbench__gov_report__row000180,longbench__gov_report__row000180,summarization,gov_report,"[4096,8192)",128,3.0241240778481715,2.8920031880977684,0.047308778049482164,748.0,4156.0,4710,1.086297644341616
kvzap-predictor-trace-20260818T072113Z::longbench__multi_news__row000129,longbench__multi_news__row000129,summarization,multi_news,"[4096,8192)",16,2.972240972491861,2.9589901360652098,0.004809666381522669,834.0,4458.0,5055,1.0627021516552986
kvzap-predictor-trace-20260818T072113Z::longbench__multi_news__row000129,longbench__multi_news__row000129,summarization,multi_news,"[4096,8192)",32,2.972240972491861,2.944514581492236,0.01005998978897209,834.0,4458.0,5055,1.0627021516552986
kvzap-predictor-trace-20260818T072113Z::longbench__multi_news__row000129,longbench__multi_news__row000129,summarization,multi_news,"[4096,8192)",64,2.972240972491861,2.9139805097451275,0.021121516558966075,834.0,4458.0,5055,1.0627021516552986
kvzap-predictor-trace-20260818T072113Z::longbench__multi_news__row000129,longbench__multi_news__row000129,summarization,multi_news,"[4096,8192)",128,2.972240972491861,2.8505866536299194,0.04402979555613989,834.0,4458.0,5055,1.0627021516552986
kvzap-predictor-trace-20260818T072129Z::longbench__multi_news__row000144,longbench__multi_news__row000144,summarization,multi_news,"[4096,8192)",16,3.0134384858044165,2.9997173810645315,0.004908432348261738,903.0,4529.0,5178,1.0490589966866577
kvzap-predictor-trace-20260818T072129Z::longbench__multi_news__row000144,longbench__multi_news__row000144,summarization,multi_news,"[4096,8192)",32,3.0134384858044165,2.9851875,0.010102370689655173,903.0,4529.0,5178,1.0490589966866577
kvzap-predictor-trace-20260818T072129Z::longbench__multi_news__row000144,longbench__multi_news__row000144,summarization,multi_news,"[4096,8192)",64,3.0134384858044165,2.9552654374458607,0.02078614257161892,903.0,4529.0,5178,1.0490589966866577
kvzap-predictor-trace-20260818T072129Z::longbench__multi_news__row000144,longbench__multi_news__row000144,summarization,multi_news,"[4096,8192)",128,3.0134384858044165,2.896834061135371,0.04160146061554512,903.0,4529.0,5178,1.0490589966866577
kvzap-predictor-trace-20260818T072147Z::longbench__qmsum__row000016,longbench__qmsum__row000016,summarization,qmsum,"[4096,8192)",16,3.1664064151320566,3.153689487701708,0.00427328165805412,1053.0,5766.0,6582,1.084892545752903
kvzap-predictor-trace-20260818T072147Z::longbench__qmsum__row000016,longbench__qmsum__row000016,summarization,qmsum,"[4096,8192)",32,3.1664064151320566,3.140895615540646,0.008570193637621024,1053.0,5766.0,6582,1.084892545752903
kvzap-predictor-trace-20260818T072147Z::longbench__qmsum__row000016,longbench__qmsum__row000016,summarization,qmsum,"[4096,8192)",64,3.1664064151320566,3.114170792079208,0.01753871984649123,1053.0,5766.0,6582,1.084892545752903
kvzap-predictor-trace-20260818T072147Z::longbench__qmsum__row000016,longbench__qmsum__row000016,summarization,qmsum,"[4096,8192)",128,3.1664064151320566,3.0629945222154595,0.03468574929971989,1053.0,5766.0,6582,1.084892545752903
kvzap-predictor-trace-20260818T072204Z::longbench__qmsum__row000044,longbench__qmsum__row000044,summarization,qmsum,"[4096,8192)",16,3.602360871225861,3.581976610869067,0.006204949291760959,566.0,4039.0,5079,1.1811809316116577
kvzap-predictor-trace-20260818T072204Z::longbench__qmsum__row000044,longbench__qmsum__row000044,summarization,qmsum,"[4096,8192)",32,3.602360871225861,3.562371721778791,0.01216622927601433,566.0,4039.0,5079,1.1811809316116577
kvzap-predictor-trace-20260818T072204Z::longbench__qmsum__row000044,longbench__qmsum__row000044,summarization,qmsum,"[4096,8192)",64,3.602360871225861,3.5182432432432433,0.025561411078238002,566.0,4039.0,5079,1.1811809316116577
kvzap-predictor-trace-20260818T072204Z::longbench__qmsum__row000044,longbench__qmsum__row000044,summarization,qmsum,"[4096,8192)",128,3.602360871225861,3.4306734992679355,0.05204918851934762,566.0,4039.0,5079,1.1811809316116577
kvzap-predictor-trace-20260818T072221Z::longbench__gov_report__row000003,longbench__gov_report__row000003,summarization,gov_report,"[8192,16384)",16,2.9302320711674055,2.9223144177757976,0.0028227839509763998,1540.0,7813.0,8617,1.0385748334379108
kvzap-predictor-trace-20260818T072221Z::longbench__gov_report__row000003,longbench__gov_report__row000003,summarization,gov_report,"[8192,16384)",32,2.9302320711674055,2.9130676140779395,0.006118568556960068,1540.0,7813.0,8617,1.0385748334379108
kvzap-predictor-trace-20260818T072221Z::longbench__gov_report__row000003,longbench__gov_report__row000003,summarization,gov_report,"[8192,16384)",64,2.9302320711674055,2.8962396055633235,0.012114087835241682,1540.0,7813.0,8617,1.0385748334379108
kvzap-predictor-trace-20260818T072221Z::longbench__gov_report__row000003,longbench__gov_report__row000003,summarization,gov_report,"[8192,16384)",128,2.9302320711674055,2.860662887047536,0.024779291837353966,1540.0,7813.0,8617,1.0385748334379108
kvzap-predictor-trace-20260818T072239Z::longbench__gov_report__row000057,longbench__gov_report__row000057,summarization,gov_report,"[8192,16384)",16,3.0250146149349253,3.016136619286226,0.003079993990255629,1396.0,7044.0,8065,1.0494444180745468
kvzap-predictor-trace-20260818T072239Z::longbench__gov_report__row000057,longbench__gov_report__row000057,summarization,gov_report,"[8192,16384)",32,3.0250146149349253,3.0064829160890483,0.006428082484812184,1396.0,7044.0,8065,1.0494444180745468
kvzap-predictor-trace-20260818T072239Z::longbench__gov_report__row000057,longbench__gov_report__row000057,summarization,gov_report,"[8192,16384)",64,3.0250146149349253,2.9877228525121557,0.012931400884053043,1396.0,7044.0,8065,1.0494444180745468
kvzap-predictor-trace-20260818T072239Z::longbench__gov_report__row000057,longbench__gov_report__row000057,summarization,gov_report,"[8192,16384)",128,3.0250146149349253,2.944768370607029,0.027806848626925652,1396.0,7044.0,8065,1.0494444180745468
kvzap-predictor-trace-20260818T072258Z::longbench__multi_news__row000073,longbench__multi_news__row000073,summarization,multi_news,"[8192,16384)",16,2.9861654920386322,2.981340560825602,0.0016600621184534646,3077.0,12338.0,14172,0.9865023893813882
kvzap-predictor-trace-20260818T072258Z::longbench__multi_news__row000073,longbench__multi_news__row000073,summarization,multi_news,"[8192,16384)",32,2.9861654920386322,2.975860155382908,0.003545467502850627,3077.0,12338.0,14172,0.9865023893813882
kvzap-predictor-trace-20260818T072258Z::longbench__multi_news__row000073,longbench__multi_news__row000073,summarization,multi_news,"[8192,16384)",64,2.9861654920386322,2.9636623221111775,0.007741164782135592,3077.0,12338.0,14172,0.9865023893813882
kvzap-predictor-trace-20260818T072258Z::longbench__multi_news__row000073,longbench__multi_news__row000073,summarization,multi_news,"[8192,16384)",128,2.9861654920386322,2.942655935613682,0.014964540672553072,3077.0,12338.0,14172,0.9865023893813882
kvzap-predictor-trace-20260818T072318Z::longbench__qmsum__row000010,longbench__qmsum__row000010,summarization,qmsum,"[8192,16384)",16,2.9471765647995007,2.9425114089247733,0.0016214965626652564,3713.0,13838.0,15705,0.9641391114432543
kvzap-predictor-trace-20260818T072318Z::longbench__qmsum__row000010,longbench__qmsum__row000010,summarization,qmsum,"[8192,16384)",32,2.9471765647995007,2.937052991734856,0.0035185527288081916,3713.0,13838.0,15705,0.9641391114432543
kvzap-predictor-trace-20260818T072318Z::longbench__qmsum__row000010,longbench__qmsum__row000010,summarization,qmsum,"[8192,16384)",64,2.9471765647995007,2.927699704142012,0.00676886047979798,3713.0,13838.0,15705,0.9641391114432543
kvzap-predictor-trace-20260818T072318Z::longbench__qmsum__row000010,longbench__qmsum__row000010,summarization,qmsum,"[8192,16384)",128,2.9471765647995007,2.90952711532179,0.013082474280695885,3713.0,13838.0,15705,0.9641391114432543
kvzap-predictor-trace-20260818T072338Z::longbench__qmsum__row000036,longbench__qmsum__row000036,summarization,qmsum,"[8192,16384)",16,3.073812565756123,3.066869110603262,0.0023434201552401676,2123.0,9488.0,10757,1.0191801059631904
kvzap-predictor-trace-20260818T072338Z::longbench__qmsum__row000036,longbench__qmsum__row000036,summarization,qmsum,"[8192,16384)",32,3.073812565756123,3.059302979201799,0.0048965419501133785,2123.0,9488.0,10757,1.0191801059631904
kvzap-predictor-trace-20260818T072338Z::longbench__qmsum__row000036,longbench__qmsum__row000036,summarization,qmsum,"[8192,16384)",64,3.073812565756123,3.0435255374673793,0.010218979572109809,2123.0,9488.0,10757,1.0191801059631904
kvzap-predictor-trace-20260818T072338Z::longbench__qmsum__row000036,longbench__qmsum__row000036,summarization,qmsum,"[8192,16384)",128,3.073812565756123,3.0113426779786057,0.02106935149776928,2123.0,9488.0,10757,1.0191801059631904
